AHQ,Air National
XBZ,Air Natl Aircraft Sal & Ser
ON,Air Nauru
ANB,Air Nebraska Inc.
ZIA,Air New Mexico
AOR,Air New Orleans
NZ,Air New Zealand
NUQ,Air Niugini
4N,Air North
ANT,Air North/Nenana
CB,Air One Inc.
GX,Air Ontario Limited
ARO,Air Oregon
EKA,Air Pacific Inc.
FJ,Air Pacific Ltd.
FJ (1),Air Pacific Ltd.
OP (1),Air Panama Internacional
PER,Air Pennsylvania
2P,"Air Philippines Corp d/b/a Airphil Express, Philippines Airlines"
XAB,Air Polynesia d/b/a DHL Cargo
APY,Air Polynesia Inc.
FD,Air Puerto Rico Airlines
ARA,Air Resorts Airlines
RWG,Air Rovers Inc.
ARS,Air Sedona
HC,Air Senegal S.A
JU,Air Serbia
ASH,Air South
ASU,Air South
ASC,Air South Inc.
WV (1),Air South Inc.
ATH,Air Southeast
APS,Air Spirit Inc.
ZP,Air St. Thomas
AAT,Air Sunshine Inc.
TN,Air Tahiti Nui
XDE,Air Train Inc.
TS,Air Transat
8C,Air Transport International
VK,Air Tungaru Corporation
USA,Air U.S.
6U,Air Ukraine
AVA,Air Vectors Airways
AVR,Air Vermont Inc.
CAV,Air Virginia
AWA,Air West Airlines
ZW,Air Wisconsin Airlines Corp
ABI,Airbama Incorporated
ZX (1),Airbc Ltd.
RU,AirBridgeCargo Airlines Limited
BGQ,Airbus Transport Internat'l
3AA,"Airgate Aviation, Inc."
AIG,Airgo Inc.
IG,Airitaly S.P.A.
ALE,Air-Lift Associates Inc.
ARD,Airlift International
RD (1),Airlift International Inc.
ARM,Airmarc Airlines Inc.
AKQ,Airmark Airlines Inc.
MKQ,Airmark Corporation
XYZ,Airpac Inc.
RSV,Air-Serve
ARP,Airspur Helicopters Inc.
FL,AirTran Airways Corporation
AVG,Airvantage
AIT,Airways International
ANM,Airways Of New Mexico Inc.
ACS,Alamo Commuter Airlines
APQ,Alas De Transporte International
AAZ,Alaska Aeronautical Indust.
AS,Alaska Airlines Inc.
ACA,Alaska Central Airways Inc.
KO,Alaska Central Express
LSZ,Alaska Island Air Inc.
ALQ (1),Alberta Northern Airlines
17Q,Albinati Aeronautics SA
26Q,Albinati aviation Limited
ALU,Aleutian Air
RJ,Alia-(The) Royal Jordanian
CP,Alis Cargo Airlines S.P.A.
CEQ,All Canada Express
AIA,All Island Air
NH,All Nippon Airways Co.
ALL,All Seasons Air Pacific
EP,All Star Airlines Inc.
JXQ,Allarco Developments Ltd.
HRZ,Allegheny Airlines
G4,Allegiant Air
AIY,Alliance Air
ACN,Alliance Airlines
ALQ,Alliance Executive Jets Ltd.
ALD,Allied Airlines
XBR,Allstates Air Cargo Inc.
KH,Aloha Air Cargo
AQ,Aloha Airlines Inc.
APH,Alpha Air
AAV,Alpine Air
ASI,Alpine Air Services Inc.
1FQ,Alsek Air
AAR,Altair Airlines Inc.
ALT,Altus Airlines
XAE,Amerford Airways Inc.
HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)
AME,Americair Inc.
AMT,American Air Transport
AA,American Airlines Inc.
TSF,American Central Airlines
AFA,American Flag Airlines Inc.
AFG,American Flight Group
AMI,American Inter-Island Inc.
NI (1),American International Airways Inc.
M6,Amerijet International
AMQ,Ameristar Air Cargo
ASD,Amistad Airlines
9N,ANA & JP Express Co. Ltd.
ED,Andes
3CQ,"Andrew Airways, Inc."
AZQ,Anglo Airlines Ltd.
PDQ,Antigua Paradise Airways
AAB (1),Antilles Air Boats Inc.
ADB,Antonov Company
7P,Apa International Air S.A.
APL,Appalachian Flying Service
AFS,Arcata Flying Service
5F,Arctic Circle Air Service
AGQ,Argo S. A.
AAL,Argosy Air Lines Inc.
W3,Arik Air International
RAQ,Arista International Airlines Inc.
ARI,Arizona Aero Corp.
ARZ,Arizona Airways
K7,Arizona Express
AZP,Arizona Pacific Airways
API,Arizona Pacific Inc.
MTA,Arkansas Traveler Airline
AAP,Armstrong Air Service Inc.
ARN,Arnold Aviation
JW,Arrow Air Inc.
WAP,Arrow Panama
ARR,Arrowhead Airways Inc.
IPQ,Aruba Cargo
AG,Arubaanse Luchtvaart Maatschappij NV dba Aruba Airlines
ASP,Asap Air Inc.
PFQ,Asia Pacific
OZ,Asiana Airlines Inc.
APN,Aspen Airways Inc.
AAA,Associated Aviation Act.
ER,"Astar USA, LLC"
AEC,Astec Air East Inc.
ASR,Astor Air
AST,Astro Airways
XAF,Astro-Wing Airlines Inc.
TZ,ATA Airlines d/b/a ATA
ALX,Atlanta Express
ANC,Atlantic Air
ACJ,Atlantic Coast Jet Inc.
ZY,Atlantic Gulf Airlines
ATS,Atlantis Airlines Inc.
5Y,Atlas Air Inc.
AAI,Audi Air Inc.
AUX,Austin Express Inc.
OS,Austrian Airlines
HCQ,Av Atlantic
AVC,Av Center Inc.
AMR,AvAir
VOQ,Avalon Aviation Ltd.
AOQ,Avcon Jet AG
NIQ,AVCON JET MALTA LTD
AD (1),Avia Leasing Company
AO,Aviacion Y Comercio S.A.
6A,Aviacsa Airlines
GU (1),Aviateca
GU,"Aviateca, S.A."
SNA,Aviation Associates
CZQ,Aviation Concepts
AVL,Aviation Sales
AVS,Aviation Services
9V,"Avior Airlines, C.A."
0WQ,Avjet Corporation
XQQ,AXIS Aviation Switzerland AG
J2,Azerbaijan Airlines CJSC
35Q,"Aztec Worldwide Airlines, Inc.  d/b/a  Aztec Airways"
AD,Azul Linhas Aereas Brazileiras S A
ZF,AZUR Air LLC
UP,Bahamasair Holding Limited
ATQ,Bairline Fluggesellschaft
BCA,Baja Cortez Airlines
8Q,Baker Aviation Inc.
BBQ,Balair Ag
LZ,Balkan Bulgarian Airlines
XAG,Ball Brothers Inc.
BAN,Bangor International Air
BAK,Bankair Inc.
QOZ,Bar Harbor Airways
BAS,Baranautica Air Service LLC
BAR,Bard-Air Corp.
BRK,Barken International
BRW,Barrow Air
SKL,Bas Airlines
BYA,Bay Air
JD,Beijing Capital Airlines
4T,Belair Airlines Ltd.
BM,Belize Air International Ltd.
ST,Belize Airways Limited
4H,Belize Trans Air
5B,Bellair Inc.
7G (1),Bellair Inc.
CH,Bemidji Airlines
BEN,Bennington Aviation Inc.
8E,Bering Air Inc.
1LQ,Bertelsmann Aviation GmbH
IW (1),Best Airlines Inc.
BEY,Beyer Aviation
Z3,"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service"
BIA,Big Island Air
GQ,Big Sky Airlines Inc.
BHO,Bighorn Airways Inc.
BG,Biman Bangladesh Airlines
BIR,Birchwood Air Service
BHK,Blackhawk Airways Inc.
BUQ (1),Blue Bell Inc.
TRQ,Blue Scandinavia Ab
BOA,Boise Air Service
BOI,Bo-S-Aire Airlines Inc.
E9 (1),Boston-Maine Airways
4B,Boutique Air
BCQ,Bradley Air Services Ltd.
ALI,Brandt Air
BN (1),Braniff Inc.
BE,Braniff International Airlines Inc.
BTQ,Brasair Transportes Aereos
MX,Breeze Aviation Group DBA  Breeze
BMT,Bremerton Aviation Inc.
BAH,Brennan & Hargreaves Inc.
BN,Britannia Airways GmbH
BY,Britannia Airways Ltd.
4E,British Airtours Limited
BA,British Airways Plc
TXQ,British Caribbean Airways
BD,British Midland Airways Ltd.
VER,Britt Airlines Inc.
BRO,Brower Airways Inc.
SN,Brussels Airlines N.V.
BFQ,Buffalo Airways Inc.
BAY,Burlington Aeroplane Co.
BUR,Burlington Airways Inc.
XAI,Burlington Northern Inc.
BAC,Business Aircraft Corp.
HQ (1),Business Express
BEA,Business Express Airlines
HIQ,Business Flights Ltd.
BUH,Business Helicopters
CAM,C & M Airlines
CUQ,Caicos Caribbean Airways
BR (1),Cal Air International Ltd.
CIS,Cal Sierra Airlines
CLF,California Air Shuttle
CAF,California Seaboard
XAQ,Cam Air International Inc.
2T,Canada 3000 Airlines Ltd.
CP (1),Canadian Airlines International Ltd.
CWQ,Canadian Aviation Express
C6,Canjet Airlines
9K,Cape Air
6C,Cape Smythe Air Service
PT (1),Capital Cargo International
CPT,Capitol Air
CPQ,Capitol Air Express Inc.
CPA,Capitol Air Lines
CL,Capitol International Inc.
CVQ,Caraven S.A.
GG,"Cargo 360, Inc."
W8,Cargojet Airways Ltd.
P3,Cargologicair Limited
CV,Cargolux Airlines International S.A
C8,Cargolux Italia SpA
CRB,Caribair
DC,Caribbean Air Cargo Co Ltd.
OHZ,Caribbean Air Services Inc.
BW,Caribbean Airlines Limited
CRE,Caribbean Express Inc.
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines"
DQQ,Caribwest Airways Ltd.
KW,Carnival Air Lines Inc.
CBA,Carriba Air Inc.
CZ (1),Cascade Airways Inc.
CSA,Casino Airlines
CSN,Casino Airlines
CAZ,CAT Aviation
CAT,Catalina Airlines Inc.
CVA,Catalina-Vegas Airlines
CX,Cathay Pacific Airways Ltd.
CSK,Catskill Airways Inc.
2GQ,Cavok Air LLC
KX,Cayman Airways Limited
SNB,Ccair
5J,Cebu Air Inc d/b/a Cebu Pacific Air
CSQ,Celtic Tech Jet Ltd.
CNN,Centennial Airlines
CEN,Cen-Tex Airlines Inc.
GW (1),Central American Airlines
XAJ,Central American International
9M,Central Mountain Air
CSL,Central States Air Lines
GBA,Central States Airline
WE,Centurion Cargo Inc.
CTA,Century Airlines
CET,Century Airlines (Cal)
XAK,Century Airlines Inc.
XBI,CF Air Freight
LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle
X6,"Challenge Air Cargo, Ltd"
VV (2),Challenge Air International Inc.
CAQ,Challenge Air Luftverkehrs GmbH
VV (1),Challenge Air Transport Inc.
X7,Challenge Airlines (BE) S.A.
5C,Challenge Airlines (IL) Ltd.
MG,Champion Air
CHD,Chandler Flyer
CHL,Channel Flying Inc.
KXZ,Chaparral Airlines Inc.
CTR,Chartair
CHE,Charter Airlines
CHT,Charter One
13Q,Chartright Air Inc.
RP,Chautauqua Airlines Inc.
ACL,Check-Air Inc.
CCO,Chester County Aviation
CGO,Chicago Air Taxi
CGA,Chicago Airlines
C8 (1),Chicago Express Airlines
CI,China Airlines Ltd.
CK,China Cargo Airline
MU,China Eastern Airlines
CZ,China Southern Airlines
CSM,Chisum Flying Service
CHI,Chitina Air Service
CHO,Choi Aviation Inc.
CHS,Christman Air System
A2,Cielos De Peru
XBP,Circle Airfreight Corp.
H2,City Bird
1QQ,City Wings Inc dba Seaflight
CCA,Cityhop
V6,CLAIRMONT HOLDINGS d/b/a VI AIRLINK
CTL,Coastal Air Transport
CPC,Coastal Plains Commuter Inc.
COC,Cochise Airlines Inc.
XAM,Cohlmia Aviation
COK,Coker Aviation Inc.
CAC,Coleman Air Transport
9L,Colgan Air
CJ,Colgan Airways Inc.
CLB,Columbia Pacific Airlines
EXA,Columbia Pacific Airlines
OH (1),Comair Inc.
CMB,Combs Airways Inc.
1ZQ,Comlux Aruba NV
05Q,"Comlux Aviation, AG"
0YQ,Comlux Malta Ltd.
0UQ,"Comlux Malta, Ltd."
CMD,Command Airways Inc.
COM,Commutair
C5,CommuteAir LLC dba CommuteAir
CRA,Commuter Airlines
CMR,Commuter Airlines (Ca)
3SD,Compagnie Aerienne Inter Regionale Express dba Air Antilles Express & Air Guyane
AF,Compagnie Natl Air France
CF,Compan. De Aviacion Faucett
DO,Compania Dominicana De Avia
MX (1),Compania Mexicana De Aviaci
CM,Compania Panamena (Copa)
CP (2),Compass Airlines
Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)
JCO,Concierge U Ltd. d/b/a Jet Concierge Club
DE,Condor Flugdienst
4S (1),Conner Air Lines Inc.
CQI,Conquest Airline Corp.
CO,Continental Air Lines Inc.
CS,Continental Micronesia
GOF,Copper State Airlines
COR,Coral Air Inc.
CRP,Corporate Air
OIZ,Corporate Air Inc.
0TQ,"Corporatejets, XXI"
SS,Corsair International
CYQ,Corse Air International
COS,Cosmopolitan Comm. Airline
CTH,Cothron Aviation
COB,Cotton Belt Aviation Inc.
COU,Courtesy Air Service Inc.
CAI,Crawford Aviation Inc.
CRH,Cresent Medivac
CRT,Crested Butte Air Service
KWZ,Crown Air
CRO,Crown Airways Inc.
CRN,Crown Aviaiton Inc.
MNZ,Cumberland Airlines
CUS,Custom Air Service
CTQ,Custom Air Transport
OK,Czech Airlines
XAO,Dallas Flight Center
DA,Dan Air Services
DAN,Danbury Airlines
SE (1),Das Air Cargo
ANI,Dash Air Corporation
1XQ,Dassault Falcon Service
DAU,Dauphin Island Airways
DWN,Dawn Air
0BQ,DCA
DEC,Decatur Aviation
DL,Delta Air Lines Inc.
2JQ,Delux Public Charter LLC
Code,Description
DST,Desert Airlines
DPI,Desert Pacific Airlines Inc.
DPA,Desert Pacific Airways
DSA,Desert Sun Airlines
DVO,Devoe Airlines
DHQ,DHL Aero Expresso
DHL,DHL Airlines Inc.
DIC,Dickman Aviation Services
DH (1),Discovery Airways Inc.
DOL,Dolphin Airways Inc.
DXA,Dolphin Express
DEA,Downeast Airlines Inc.
DFS,Downeast Flying Service
B0,Dreamjet SAS Dba La Compagnie
DIA,Drummond Island Air
DUL,Dulles Express
K8,Dutch Caribbean Airlines
8D,"Dynamic Aviation, Inc. d/b/a Beacon"
NPT,E. J. A. Newport Inc.
EGA,Eagle Airline
V9,Eagle Airlines
ECA,Eagle Airlines
EEZ,Eagle Aviation Inc.
EGL,Eagle Commuter Airlines Inc.
EGJ,Eagle Jet Charter
ECR,East Coast Airways
EHA,East Hampton Aire Inc.
EIA,East. Indiana Aviation Sale
ZE,Eastar Jet Co Ltd.
EA,Eastern Air Lines Inc.
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC"
EE,Eastern Airlines Group Inc.
EAS,Eastern Caribbean Airways
ECI,Eastern Carolina Aviation
PV,Eastern Provincial Airways
EAT,Eastman Airways Inc.
W9,Eastwind Airlines Inc.
ECL,Eclipse Airlines
EU,Ecuatoriana De Aviacion
EDE,Ede Aire
8R,Edelweiss Air Ag
MS,Egyptair
LY,El Al Israel Airlines Ltd.
ELQ,Elangeni GmbH
EAU,Elitavia Malta Limited
2HQ,Elite Airways LLC
ELL,Ellis Air Taxi Inc.
A0,Elysair d/b/a L'Avion
EMA,Emerald Airlines
OD,Emerald Airlines Inc.
TNQ,Emery Worldwide Airlines
EK,Emirates
ERO,Empire Aero Service
EM,Empire Airlines Inc.
UR,Empire Airlines Inc.
EMP,Empire Airlines Inc.
9E,Endeavor Air Inc.
ENT,Enterprise Airlines Inc.
MQ,Envoy Air
E0,"EOS Airlines, Inc."
29Q,Erickson Helicopters
ERI,Erie Airways Inc.
E7,Estafeta Carga Aereas
ET,Ethiopian Airlines
EY,Etihad Airways
MM,Euro Atlantic Airways
GJ,Eurofly S.p.A
QY,European Air Transport Leipzig GmbH
E72,European Aviation Air Charter
4Y,EUROWINGS DISCOVER GmbH
EW,Eurowings GmbH
BR,Eva Airways Corporation
EVA,Evanston Aviation
E9,Evelop Airlines SL
EZ,Evergreen International Inc.
JN,Excel Airways
1JQ,Exec Direct Aviation Services Limited
EEX,Exec Express
EET,Exec Express II
EBQ,Execaire Aviation Ltd.
OW,Executive Airlines
EAQ,"Executive Airlines, SL"
EAI,Executive Aviation Inc.
EXC (1),Executive Charter
GQQ,Executive Express dba Ravn Connect
EFA,Executive Four Winds
EXR,Executive Transport
EXQ,Export Air Del Peru S.A.
XPA,Express Air d/b/a Sunrise
EXP,Express Airlines II
JKQ,Express One International Inc.
TCQ,Express.Net Airlines
XE,ExpressJet Airlines Inc.
EV,ExpressJet Airlines LLC d/b/a aha!
FSA,F.S. Air Service
IFQ,FAI rent-a-jet AG
FCQ,Falcon Air Express
FAC,Falcon Airways Inc.
FAA,Falwell Aviation Inc.
FWA,Far West Airlines
FRW,Farwest Airlines
UD,Fast Air Carrier Ltd.
FAQ,Fast Air Carrier Ltd.
VH,Fast Colombia SAS d/b/a Viva Colombia
FAR,Federal Armored Service Inc.
FX,Federal Express Corporation
FNQ,Fine Airlines Inc.
AY,Finnair Oy
7F,First Air
TZQ,First Choice Airways
FFQ,Five Star Airlines
8N,Flagship Airlines Inc.
9R,Flagship Express Services
07Q,Flair Airlines Ltd.
FLM,Flamenco Airways Inc.
PTQ (1),Flight International
XAU,Flight Line Inc.
FK,Flightcraft Air Charter Ltd dba KF Aeroflyer
ARQ,Flightworx Aviation Ltd
FLR,Flirite Inc.
FLA,Florida Air
FDA,Florida Airlines Inc.
PA,Florida Coastal Airlines
ZO,Florida Express Inc.
PRQ,Florida West Airlines Inc.
8W,Fly Airways NV
OJ,Fly Jamaica Airways Limited
OG,Fly PLAY ehf
FYB,Flying Boat
OP,Flying Boat Inc.
MT (1),Flying Colours Airlines Ltd.
FYQ,Flying Group Lux S.A.
0Q,Flying Service N.V.
FT,Flying Tiger Line Inc.
Y7,Flyjet Limited d/b/a Silverjet
FOR,Ford-Aire Inc.
FOS,Foster Aviation
FRS,Four Star Aviation
6F,"FOX AIRCRAFT, LLC"
FRA,Freedom Air
F8,Freedom Airlines d/b/a HP Expr
FDM,Freedom Airlines Inc.
BF,French bee
WST,Friday Harbor Seaplanes
HAR,Friendship Air Alaska
F9,Frontier Airlines Inc.
FL (1),Frontier Airlines Inc.
FRT,Frontier Commuter
2F,Frontier Flying Service
FH,Frontier Horizon Inc.
GBQ,G5 Executive Ag
1UQ,Gainjet Aviation SA
GJQ,GainJet Ireland Ltd
GAQ,Galaxy Airlines Inc.
GAL,Galena Air Service
GTQ,Galistair Trading Ltd
WGQ,Gateway Aviation Limited
GSC,GCS Air Service
SNC,Gelco Courier Services Inc.
22Q,Gem Air LLC
GR,Gemini Air Cargo Airways
GCQ (1),General Air Cargo
GAS,General Aviation Inc.
GEQ,"Gestair, S.A."
GH,Ghana Airways Corporation
GCA,"Global Crossing Airlines, Inc."
GIQ,Global International Airways Corp.
IGA,"Global Jet Austria, GmbH"
SVW,"Global Jet Luxembourg, Sa"
GSQ,Global Supply System
Y2,Globespan Airways Limited d/b/a Flyglobespan
GCQ,Glock Aviation GmbH
G7,GoJet Airlines LLC d/b/a United Express
GCA (1),Golden Carriage Aire
GSA,Golden Gate Airlines Inc.
KIN,Golden Pacific Airlines
GSL,Golden South Airlines Inc.
GST,Golden State Airlines
GLW,Golden West Airlines Co.
GDW,Golden West Airlines Inc.
GWQ,"Golden Wings Charter, Ltd"
GRA,Gorda Aero Service
GPA,GP Express Airlines
QD,Grand Airways Inc.
GRD,Grand Canyon Airlines
YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines"
GCH,Grand Canyon Helicopters
GV,Grant Aviation
FDQ,Great American Airways
ZK,Great Lakes Airlines
TRI,Great Plains Airlines Inc.
IJ,Great Wall Airlines Company Limited
ROS,Great Western Airlines Inc.
GWA,Great Western Aviation
GHA,Green Hills Aviation Ltd.
GMA,Green Mountain Airlines Ltd.
GG (2),Grenada Airways Ltd.
GAV,Gromer Aviation Inc.
GF,Gulf Air Company
GAT,Gulf Air Taxi
GF (1),Gulf Air Transport Inc.
GFQ,Gulf And Caribbean Cargo
GFC,Gulf Flite Center
GUL,Gull Air Inc.
GUN,Gunnel Aviation Inc.
HX (1),Guy-America Airways Inc.
GY,Guyana Airways Corporation
H6,Hageland Aviation Service
HU,Hainan Airlines Company Limited
HNS,Haines Airways
KB,Haiti Air
HFQ,Haiti Air Freight Intl
TV,Haiti Trans Air
WD,Halisa Air
HAQ,Hamilton Jetport Limited
CHF,Hammonds Commuter Air Serv.
HAQ (1),Hapag Lloyd Flug.
EXC,Hapag-Lloyd Executive GmbH
HSV,Harbor Air Service
OAK,Harbor Airlines Inc.
YB,"HARBOUR AIR LTD. D/B/A HARBOUR AIR SEAPLANES, WHISTLER AIR AND SALTSPRING AIR"
HQQ,Harlequin Air Corporation
HQ,Harmony Airways
HBQ,Harris Air Services
HUQ,Haute Aviation
LHA,Havasu Airlines
XAH,Hawaii Pacific Air
CLD,Hawaii Pacific Helicopters
HA,Hawaiian Airlines Inc.
HWK,Hawking Corporation
XCA,Hawkins And Powers Aviation
HLQ,Heavylift Cargo Airlines Lt
JB,Helijet International Inc.
HET,Helitac Aviation
HEL,Helitrans
XDC,Hemisphere Air Charter
HFS,Hensley Flying Service Inc.
HRG,Heritage Airlines
HEU,Heussler Air Service Corp
VY,Highland Express Airways
37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC"
ZS,Hispaniola Airways
HOQ,Holidair Airways
HOL,Holiday Airlines Inc.
HB,Homer Air
HX,Hong Kong Airlines Limited
KA,Hong Kong Dragonair
UO,Hong Kong Express Airways Limited
QX,Horizon Air
HEP,Hub Express
HYA,Hyannis Aviation
HYP,Hyperion Aviation Ltd. dba Hyperion
IB,Iberia Air Lines Of Spain
XBX,Icb International Airlines
FI,Icelandair
III,Idee Industries Inc.
V8,Iliamna Air Taxi
IMP,Imperial Airlines Inc.
IXQ,Inair
DH,Independence Air
INQ,Independent Air Inc.
IND,Indiana Airways Inc. (Pa)
RID,Indiana Airways Inc. (Reid
IPI,Indo-Pacific International
7N,Inland Aviation Services
INA,Inland Empire Airlines Inc.
CKI,Inlet Airlines
7I,Insel Air International B V
8I,Inselair Aruba NV
ND,Intair
0GQ,"Inter Island Airways, d/b/a Inter Island Air"
ITQ,Interamericana De Aviacion
XBJ,International Air Service
XPQ,International Cargo Xpress
1HQ,International Jet Management GmbH
XDD,International Parcel Express Inc.
QB,Inter-Quebec (Intair)
IRQ,Interstate Airlines Inc.
IDQ,Intl Air Service Co. Ltd.
HOR,Iowa Airlines
IOW,Iowa Airways
ICF,Iowa City Flying Service
IR,Iran National Airlines Corp
IA,Iraqi Airways
ICQ,Iscargo Hf
ICH,Island Air Charters
IEX,Island Air Express
WP,Island Air Hawaii
2O,Island Air Service
ISL,Island Airlines
ACH,Island Airlines Hawaii Inc.
1DQ,Island Airlines LLC
IPS,Island Express
IWQ,Island Wings Ltd. Dba Island Wings Charter
GRO,Isle Royale Seaplane Serv.
6H,Israir Airlines
AZ,Italia Transporto Aereo S.P.A DBA ITA S.P.A
2EQ,"J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit"
V5,J.D.Valenciana De Aviation
JI,Jade Cargo International
JO,Jalways Co. Ltd.
